genre,playlist_id
roots reggae,0cT7S92xSEh5wjPSSifu8I
sad rap,2uM2IvAqc6HZmEiRjJBF6Q
german techno,1x7cCTGSYF2xYu1hWiPQWk
lo-fi beats,5OzAgYmdiqJKWjGvX7cP4Q
sad lo-fi,1uN3iCLmAXg6rmS86SJM7g
pop emo,3Gf8bbUuqd7zLFt4LrSLej
binaural,0bhejAZQ6fC8zVZU6wxkrh
german metal,1Mcit79QvE6BdMXZ03eamN
cumbia villera,2ikWCh2wOfp5XtENdqaAQC
latin worship,6qubMJr7QEW6vCHogJU9u3
german dance,0ociygIFg7QypC1T9v1g7x
drill,4cEyA0ViSmUTFKF8i3agLU
pop edm,5OFsiAHgwlYHB6XLK0kJ4p
arab pop,6qf2sOrwU08PIM4aMggZS5
brazilian reggae,7v4hGOiOxpMW8fldbY63kd
broadway,1n5lZH4Z7y6R254fFzL04j
roots rock,70fcjVBboCf2RrKXEMMMxl
samba,3xh2sgnL4trGV8rlHTfjgv
tech house,7HxEKL4NF7ZKakfTZiekTr
filter house,5oZMnQNApteFlWDTo0xrtb
video game music,3fMUb3gZXZ8ibcJb5zvy8r
neo-classical,6Y3YErcNrY3sVJkq6y9GtT
jazz pop,04AQGSIBVHZn3OTzLLZjlz
show tunes,0Psnw0YWHuqAvVO8YhYJWF
rap canario,05DEKeFlMuXhfxk1CpjD7b
mollywood,4cOnCdcml9OJO7LfXqWxPf
sufi,61rjzIILTnivihI046xLYP
swedish hip hop,3NfxAsLjZmCpQIlytSFiMB
turkish alt pop,7u11wOJGQMZuMQufJB5hYG
hollywood,0V1QibeEirHFpZ68S37kGy
spanish rock,0tcS9Y1tCt0Ffh2CdTXybt
nursery,0YzSTrNdO3mMpdrpJrYFYu
irish singer-songwriter,67ljvMZzzG7KNJkCH7hY6z
electro latino,1sD9vBSHzNC8d30hT5Xg3m
shimmer pop,1HxlHisjJGDQLJzg35NVIy
lullaby,1HF6J83A0lrauLpdJ9N4Nz
korean r&b,2TJHOlrTUoLMHs9CTyxN9n
baton rouge rap,0F7mtdFDNN5fqlDuxWG8TM
skate punk,3RRuHMQvn4gPIfK802sqlb
grime,6tpwcBIh10DbSUksx3mRB5
country pop,1kmPba3K0wZwyVJXktgJii
german rock,4g8qRc8jVOv6bQc4ybb0rF
nigerian hip hop,33VujNIodgRGBI4TUuB4mx
russian pop,3C24egLjqcCmIMgfztqI2r
noise pop,79vSZtZGJqNVs3KYInh42V
speed metal,76RB4cPFZIK8WBomKSEIlQ
canadian trap,3m7nHC50zcjP8v1HRaDd8f
indonesian indie,5Wh14KMrdMwRzU4lU8Zc9z
rap marseille,5nMh3IcKI0h3bfeiwdoUrW
vallenato,3r3Yyzb9UUcuWpjd9Y0nfj
kentucky hip hop,1jbjgJE4hBSSwfx5NjWc2j
ohio hip hop,56EJ8xSxox8qhQRuruKlo2
la pop,7AqOmLV0JV4a3GpIU1qxbL
swedish trap pop,6U6G6gOdXrrSIvQEsM4fsf
salsa puertorriquena,4bCkN6aIITHJ5ZQUjEUxB6
environmental,5p63jelsoTJGZy0mEzmu28
musica para ninos,3b0dNrX44ZCPCkNZ2LNrt9
french indie pop,7pSUsof5crZi6c4k8Hun3q
hindi hip hop,572Hmii6eSuDai46ZJXgIe
tollywood,1pJbr3AF7AZtbMZBmyvBRn
ambient pop,0yRTC25xu2jLehDX24gFmH
stutter house,6Jj24SmktCVUm5bKcTuerf
cloud rap francais,6YZRIE6bklyIzsXA5QhlA6
jazz blues,4ehHChcQBZTZ0kP9CkHdzc
background piano,66O4FigZBxS4Tz80TbZ9Zc
lagu jawa,0sj7X3mU67gtQXbsrjnpyP
florida drill,5BnmykWeS0YYxI7VH9lZjP
cuarteto,3yD30J9sFKpMe60dbvfrIs
dreamo,7j0Fio78ghmrM92FrgSSFR
turbo folk,2o4kwAlkwGTYEijq94GsyS
pinoy hip hop,4h1t1NUOA1LuIz8WW0w32H
czsk hip hop,3d5jCAj8KI62xVo567NEGn
rap napoletano,0OCPvoUuknhRAe1x0HFI3C
chicago drill,3FeDgGoUiDRzSBXexOs3gZ
japanese singer-songwriter,2XKIPP83gL3CAONT0n5ZmT
oxford indie,1YvOWmrMWjSOmaXHo5RCnZ
new rave,3ZlEqn2WSADG2wVMPhKHsd
french rock,6uL4zN0tryTmOsrhcknaIS
swedish electropop,33fyWhh6amFf9SQi1EILdm
classic j-pop,0dJjpfWSlJj9121L0WTUoU
polish pop,40uOIq5lmbAApQTlleiVp0
drill francais,7ps4PEcNxt0xc1LN3rypdg
new jack swing,0zn8nuASKC0PISqD9mxCSV
canadian singer-songwriter,2IBJxQyIykOBbtKZosjNvI
drill espanol,0fsiAxyZJMMQ3TFa4b8enY
gym hardstyle,3sxd4rKBG1cpSn15GcKFAG
indonesian singer-songwriter,7aJrA9ExAuZLUr4OdXbwwv
dangdut,3xpkyLuyJI7bruUh1xtuea
swing,20CFvOMJgvNmysKxUH5GJV
deep house,4ZRv1fFjjwpgAcosytT3bd
new french touch,7m1pFx600mZCOuIsOoEIZW
industrial,77sv0mFP4YSZgApxcqjaOb
uk alternative pop,5sD1aSVv0KWgbGHo8GYKMC
coverchill,2X35a4BVWpyP9BwcyRRhJD
hare krishna,0HlE2m9Pbvs9dnBwFhsxSE
complextro,3N0R1GcrhHAvCmSSMJumJT
kollywood,3TlLFpN4RZW1ecTnWyWM0x
uk metalcore,65cw6LKvXQFFHR2iwNjZHY
baroque,4vmfJ9pJfFyeo1s5Z0g9B7
el paso indie,47v4HO6aShu1jyLNudBinv
flamenco urbano,21XVVIqOYYoX4krT44mMiL
modern indie folk,7yUfdsaiRYRGK8H2uMRkBv
country rap,0vbiEQuSW4DIvyr169jPzg
early music,0K86fmE0c0SFgz9GpwhwLm
glitchcore,0nAwOSVQ19qbswrjPdmQkq
cantopop,6h7Jr2zbuBSNKAzajJ7BvD
bachata dominicana,6ZOErPbFr6wWQ687g0TQGB
modern folk rock,4cF62RlGhLrHX5mEftPnKy
egyptian pop,7jkRZ5VDXwsJGw4AFcIiSq
mexican indie,2UmyDZbUjnhE6tuhf8e9Wa
bubblegrunge,0JrzRKCHxv8xnuAvMk5Rnd
beatlesque,7DMAadYDfKZnsaZcDKFPK4
norwegian pop,5j9E5msjnYEL2PZLjRzfQy
meditation,1RJKluktWr9Dh7fXhhRkHV
